id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.64808,1,1.77828,0.000319618,0.0001,0.000398107,0.061943,0.05,0.1,0.758327,0.7,0.8,1.16005e-06,3942.51,3687.04,197.126,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
2,10000,1.37017,1,1.77828,0.000226433,0.0001,0.000398107,0.0719856,0.05,0.1,1.09647,1,1.5,5.80027e-06,1577,1042.85,78.8502,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
3,10000,1.63226,1,1.77828,0.000391933,0.0001,0.000398107,0.102191,0.1,0.15,0.596391,0.5,0.6,1.16005e-06,0,0,0,0.01,0.95,10,10000,0.938,0.497,0,1,0.9352,0,0
4,10000,1.46423,1,1.77828,0.000251928,0.0001,0.000398107,0.117564,0.1,0.15,1.20638,1,1.5,5.80027e-06,1577,1042.85,78.8502,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
5,10000,1.67546,1,1.77828,0.000326567,0.0001,0.000398107,0.155439,0.15,0.2,0.593816,0.5,0.6,1.16005e-06,7885.02,9031.36,394.251,0.01,0.95,10,10000,0.938,0.497,2,1,0.9352,0,0.5
6,10000,1.48541,1,1.77828,0.000287579,0.0001,0.000398107,0.158356,0.15,0.2,0.805896,0.8,0.9,1.16005e-06,3942.51,3687.04,197.126,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
7,10000,1.5627,1,1.77828,0.000274058,0.0001,0.000398107,0.220384,0.2,0.25,0.840968,0.8,0.9,1.16005e-06,3942.51,3687.04,197.126,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
8,10000,1.01086,1,1.77828,0.000129622,0.0001,0.000398107,0.224361,0.2,0.25,1.00359,1,1.5,5.80027e-06,788.502,737.407,39.4251,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
9,10000,1.6354,1,1.77828,0.000449271,0.000398107,0.000630957,0.129307,0.1,0.15,0.602061,0.6,0.7,9.06113e-07,5047.41,4720.34,252.371,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
10,10000,1.51464,1,1.77828,0.000550145,0.000398107,0.000630957,0.144608,0.1,0.15,0.786609,0.7,0.8,9.06113e-07,5047.41,4720.34,252.371,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
11,10000,1.86851,1.77828,2.37137,0.00039245,0.0001,0.000398107,0.154822,0.15,0.2,1.23565,1,1.5,4.42013e-06,1034.7,967.655,51.7352,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
12,10000,1.85236,1.77828,2.37137,0.000378519,0.0001,0.000398107,0.301902,0.3,0.4,0.90646,0.9,1,1.76805e-06,2586.76,2419.14,129.338,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
13,10000,2.09945,1.77828,2.37137,0.000565035,0.000398107,0.000630957,0.0972157,0.05,0.1,0.5162,0.5,0.6,6.90508e-07,13246.8,8759.95,662.342,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
14,10000,2.21083,1.77828,2.37137,0.0006277,0.000398107,0.000630957,0.0857896,0.05,0.1,0.703407,0.7,0.8,6.90508e-07,6623.42,6194.22,331.171,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
15,10000,2.17337,1.77828,2.37137,0.00053778,0.000398107,0.000630957,0.0853061,0.05,0.1,1.02238,1,1.5,3.45254e-06,1324.68,1238.84,66.2342,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
16,10000,2.05074,1.77828,2.37137,0.000472012,0.000398107,0.000630957,0.101663,0.1,0.15,0.599754,0.5,0.6,6.90508e-07,6623.42,6194.22,331.171,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
17,10000,1.90084,1.77828,2.37137,0.000399393,0.000398107,0.000630957,0.10632,0.1,0.15,0.703335,0.7,0.8,6.90508e-07,6623.42,6194.22,331.171,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
18,10000,2.22084,1.77828,2.37137,0.000569918,0.000398107,0.000630957,0.118295,0.1,0.15,0.95456,0.9,1,6.90508e-07,19870.3,15172.7,993.513,0.01,0.95,10,10000,0.938,0.497,3,2,0.661286,0,0.666667
19,10000,2.01714,1.77828,2.37137,0.000498379,0.000398107,0.000630957,0.113303,0.1,0.15,1.11984,1,1.5,3.45254e-06,2649.37,1751.99,132.468,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
20,10000,2.17755,1.77828,2.37137,0.000579143,0.000398107,0.000630957,0.16744,0.15,0.2,1.33608,1,1.5,3.45254e-06,3974.05,2145.74,198.703,0.01,0.95,10,10000,0.938,0.497,3,3,0.539938,0,1
21,10000,2.21056,1.77828,2.37137,0.000566185,0.000398107,0.000630957,0.225944,0.2,0.25,1.22058,1,1.5,3.45254e-06,2649.37,1751.99,132.468,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
22,10000,2.07149,1.77828,2.37137,0.000646547,0.000630957,0.001,0.0729513,0.05,0.1,0.605023,0.6,0.7,1.09438e-06,4179.09,3908.28,208.954,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
23,10000,2.15879,1.77828,2.37137,0.000645871,0.000630957,0.001,0.0535979,0.05,0.1,0.995454,0.9,1,1.09438e-06,4179.09,3908.28,208.954,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
24,10000,2.07149,1.77828,2.37137,0.000646547,0.000630957,0.001,0.0517773,0.05,0.1,1.1311,1,1.5,5.47192e-06,835.817,781.656,41.7909,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
25,10000,2.36424,1.77828,2.37137,0.00064754,0.000630957,0.001,0.178641,0.15,0.2,0.661273,0.6,0.7,1.09438e-06,4179.09,3908.28,208.954,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
26,10000,2.32934,1.77828,2.37137,0.000689742,0.000630957,0.001,0.274347,0.25,0.3,1.36477,1,1.5,5.47192e-06,835.817,781.656,41.7909,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
27,10000,2.87433,2.37137,3.16228,0.000901212,0.000630957,0.001,0.0803162,0.05,0.1,0.544547,0.5,0.6,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
28,10000,2.88468,2.37137,3.16228,0.0009075,0.000630957,0.001,0.0971674,0.05,0.1,0.682736,0.6,0.7,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
29,10000,2.71934,2.37137,3.16228,0.000821527,0.000630957,0.001,0.054357,0.05,0.1,0.71648,0.7,0.8,1.45939e-06,6267.73,4144.76,313.386,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
30,10000,2.68103,2.37137,3.16228,0.000834275,0.000630957,0.001,0.0537789,0.05,0.1,0.858096,0.8,0.9,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
31,10000,2.62918,2.37137,3.16228,0.000789208,0.000630957,0.001,0.0873685,0.05,0.1,1.39186,1,1.5,7.29695e-06,1253.55,828.952,62.6773,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
32,10000,2.94594,2.37137,3.16228,0.000960808,0.000630957,0.001,0.147811,0.1,0.15,0.390188,0.3,0.4,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
33,10000,2.48808,2.37137,3.16228,0.000785851,0.000630957,0.001,0.131243,0.1,0.15,0.543805,0.5,0.6,1.45939e-06,6267.73,4144.76,313.386,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
34,10000,2.39491,2.37137,3.16228,0.000657973,0.000630957,0.001,0.138867,0.1,0.15,0.878581,0.8,0.9,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
35,10000,2.46905,2.37137,3.16228,0.000805246,0.000630957,0.001,0.135666,0.1,0.15,1.24185,1,1.5,7.29695e-06,626.773,586.158,31.3386,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
36,10000,2.45623,2.37137,3.16228,0.000853582,0.000630957,0.001,0.185999,0.15,0.2,0.581618,0.5,0.6,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
37,10000,2.51529,2.37137,3.16228,0.000768666,0.000630957,0.001,0.161702,0.15,0.2,1.31659,1,1.5,7.29695e-06,1253.55,828.952,62.6773,0.01,0.95,10,10000,0.938,0.497,2,2,0.661286,0,1
38,10000,2.54049,2.37137,3.16228,0.000776256,0.000630957,0.001,0.207424,0.2,0.25,0.991249,0.9,1,1.45939e-06,3133.86,2930.79,156.693,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
39,10000,2.71186,2.37137,3.16228,0.000935987,0.000630957,0.001,0.48828,0.4,0.5,0.876099,0.8,0.9,2.91878e-06,1566.93,1465.39,78.3466,0.01,0.95,10,10000,0.938,0.497,1,1,0.9352,0,1
