id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.52242,1,1.77828,0.000281738,0.0001,0.000398107,0.0923822,0.05,0.1,0.151697,0.1,0.2,1.16005e-06,15770,19510,788.502,0.01,0.95,10,10000,0.938,0.139,4,1,0.9352,0,0.25
2,10000,1.38184,1,1.77828,0.000218391,0.0001,0.000398107,0.0920317,0.05,0.1,0.279413,0.2,0.3,1.16005e-06,27597.6,35172.1,1379.88,0.01,0.95,10,10000,0.938,0.139,7,1,0.9352,0,0.142857
3,10000,1.38633,1,1.77828,0.000242887,0.0001,0.000398107,0.0935974,0.05,0.1,0.362208,0.3,0.4,1.16005e-06,31540.1,27591.3,1577,0.01,0.95,10,10000,0.938,0.139,8,2,0.661286,0,0.25
4,10000,1.52201,1,1.77828,0.000283615,0.0001,0.000398107,0.0682081,0.05,0.1,0.446709,0.4,0.5,1.16005e-06,35482.6,15642.8,1774.13,0.01,0.95,10,10000,0.938,0.139,9,6,0.381794,0,0.666667
5,10000,1.72229,1,1.77828,0.00033997,0.0001,0.000398107,0.0670259,0.05,0.1,0.560814,0.5,0.6,1.16005e-06,11827.5,14279.8,591.377,0.01,0.95,10,10000,0.938,0.139,3,1,0.9352,0,0.333333
6,10000,1.36662,1,1.77828,0.00022425,0.0001,0.000398107,0.0750193,0.05,0.1,0.641257,0.6,0.7,1.16005e-06,23655.1,15642.8,1182.75,0.01,0.95,10,10000,0.938,0.139,6,3,0.539938,0,0.5
7,10000,1.52866,1,1.77828,0.000267339,0.0001,0.000398107,0.0665336,0.05,0.1,0.790563,0.7,0.8,1.16005e-06,15770,12772.3,788.502,0.01,0.95,10,10000,0.938,0.139,4,2,0.661286,0,0.5
8,10000,1.00279,1,1.77828,0.000113473,0.0001,0.000398107,0.0593115,0.05,0.1,0.814545,0.8,0.9,1.16005e-06,11827.5,14279.8,591.377,0.01,0.95,10,10000,0.938,0.139,3,1,0.9352,0,0.333333
9,10000,1.63032,1,1.77828,0.000300314,0.0001,0.000398107,0.0773407,0.05,0.1,0.981918,0.9,1,1.16005e-06,7885.02,5214.26,394.251,0.01,0.95,10,10000,0.938,0.139,2,2,0.661286,0,1
10,10000,1.31705,1,1.77828,0.000203478,0.0001,0.000398107,0.0734639,0.05,0.1,1.27052,1,1.5,5.80027e-06,2365.51,1277.23,118.275,0.01,0.95,10,10000,0.938,0.139,3,3,0.539938,0,1
