id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.46863,1,1.77828,0.000258792,0.0001,0.000398107,0.0884469,0.05,0.1,0.346372,0.3,0.4,1.16005e-06,1.85447e+06,162761,92723.7,0.01,0.95,10,10000,0.938,0.497,18,7,0.0691461,0,0.388889
2,10000,1.44235,1,1.77828,0.000247373,0.0001,0.000398107,0.0890197,0.05,0.1,0.454244,0.4,0.5,1.16005e-06,1.75145e+06,167878,87572.4,0.01,0.95,10,10000,0.938,0.497,17,6,0.0746863,0,0.352941
3,10000,1.33264,1,1.77828,0.000205167,0.0001,0.000398107,0.0862007,0.05,0.1,0.570638,0.5,0.6,1.16005e-06,824211,68823.1,41210.6,0.01,0.95,10,10000,0.938,0.497,8,6,0.0746863,0,0.75
4,10000,1.44947,1,1.77828,0.000244519,0.0001,0.000398107,0.0741089,0.05,0.1,0.659254,0.6,0.7,1.16005e-06,1.13329e+06,82695.2,56664.5,0.01,0.95,10,10000,0.938,0.497,11,8,0.0646803,0,0.727273
5,10000,1.26782,1,1.77828,0.000198406,0.0001,0.000398107,0.0772102,0.05,0.1,0.744658,0.7,0.8,1.16005e-06,309079,32645.7,15454,0.01,0.95,10,10000,0.938,0.497,3,3,0.105622,0,1
6,10000,1.46378,1,1.77828,0.000246907,0.0001,0.000398107,0.0773894,0.05,0.1,0.941915,0.9,1,1.16005e-06,206053,-nan,10302.6,0.01,0.95,10,10000,0.938,0.497,2,3,0.105622,0,1.5
7,10000,1.35224,1,1.77828,0.00021982,0.0001,0.000398107,0.0788514,0.05,0.1,1.12439,1,1.5,5.80027e-06,82421.1,7539.2,4121.06,0.01,0.95,10,10000,0.938,0.497,4,4,0.0914717,0,1
8,10000,1.3926,1,1.77828,0.000264978,0.0001,0.000398107,0.124772,0.1,0.15,0.279061,0.2,0.3,1.16005e-06,1.44237e+06,203582,72118.5,0.01,0.95,10,10000,0.938,0.497,14,3,0.105622,0,0.214286
9,10000,1.29824,1,1.77828,0.000224985,0.0001,0.000398107,0.117863,0.1,0.15,0.34622,0.3,0.4,1.16005e-06,2.47263e+06,206469,123632,0.01,0.95,10,10000,0.938,0.497,24,8,0.0646803,0,0.333333
10,10000,1.29042,1,1.77828,0.000212675,0.0001,0.000398107,0.121666,0.1,0.15,0.443693,0.4,0.5,1.16005e-06,2.06053e+06,108819,103026,0.01,0.95,10,10000,0.938,0.497,20,15,0.0472358,0,0.75
11,10000,1.38391,1,1.77828,0.000230416,0.0001,0.000398107,0.118866,0.1,0.15,0.551953,0.5,0.6,1.16005e-06,1.9575e+06,96337,97875.1,0.01,0.95,10,10000,0.938,0.497,19,16,0.0457358,0,0.842105
12,10000,1.43569,1,1.77828,0.000259719,0.0001,0.000398107,0.130643,0.1,0.15,0.641841,0.6,0.7,1.16005e-06,1.33934e+06,93398.5,66967.1,0.01,0.95,10,10000,0.938,0.497,13,9,0.0609811,0,0.692308
13,10000,1.1476,1,1.77828,0.000156305,0.0001,0.000398107,0.134477,0.1,0.15,0.729509,0.7,0.8,1.16005e-06,206053,46168,10302.6,0.01,0.95,10,10000,0.938,0.497,2,1,0.182943,0,0.5
14,10000,1.33254,1,1.77828,0.000217254,0.0001,0.000398107,0.130138,0.1,0.15,0.824397,0.8,0.9,1.16005e-06,1.13329e+06,82695.2,56664.5,0.01,0.95,10,10000,0.938,0.497,11,8,0.0646803,0,0.727273
15,10000,1.47506,1,1.77828,0.000247406,0.0001,0.000398107,0.136221,0.1,0.15,0.934056,0.9,1,1.16005e-06,412106,48665.3,20605.3,0.01,0.95,10,10000,0.938,0.497,4,3,0.105622,0,0.75
16,10000,1.48121,1,1.77828,0.000261507,0.0001,0.000398107,0.124606,0.1,0.15,1.20723,1,1.5,5.80027e-06,267869,14680.5,13393.4,0.01,0.95,10,10000,0.938,0.497,13,12,0.0528112,0,0.923077
17,10000,1.25007,1,1.77828,0.000196325,0.0001,0.000398107,0.154926,0.15,0.2,0.472018,0.4,0.5,1.16005e-06,1.03026e+06,141883,51513.2,0.01,0.95,10,10000,0.938,0.497,10,3,0.105622,0,0.3
18,10000,1.36893,1,1.77828,0.000248888,0.0001,0.000398107,0.161803,0.15,0.2,0.571004,0.5,0.6,1.16005e-06,1.03026e+06,72998,51513.2,0.01,0.95,10,10000,0.938,0.497,10,8,0.0646803,0,0.8
19,10000,1.4136,1,1.77828,0.000253648,0.0001,0.000398107,0.173278,0.15,0.2,0.642895,0.6,0.7,1.16005e-06,927237,63218.1,46361.9,0.01,0.95,10,10000,0.938,0.497,9,8,0.0646803,0,0.888889
20,10000,1.2675,1,1.77828,0.000203898,0.0001,0.000398107,0.171815,0.15,0.2,0.733532,0.7,0.8,1.16005e-06,721185,57581.6,36059.2,0.01,0.95,10,10000,0.938,0.497,7,6,0.0746863,0,0.857143
21,10000,1.30051,1,1.77828,0.000221605,0.0001,0.000398107,0.16773,0.15,0.2,0.843998,0.8,0.9,1.16005e-06,927237,70881.6,46361.9,0.01,0.95,10,10000,0.938,0.497,9,7,0.0691461,0,0.777778
22,10000,1.42056,1,1.77828,0.000246422,0.0001,0.000398107,0.171476,0.15,0.2,0.937948,0.9,1,1.16005e-06,618158,46168,30907.9,0.01,0.95,10,10000,0.938,0.497,6,6,0.0746863,0,1
23,10000,1.4327,1,1.77828,0.000244497,0.0001,0.000398107,0.174955,0.15,0.2,1.18034,1,1.5,5.80027e-06,391500,17320.1,19575,0.01,0.95,10,10000,0.938,0.497,19,18,0.0431202,0,0.947368
24,10000,1.32305,1,1.77828,0.000201851,0.0001,0.000398107,0.237196,0.2,0.25,0.0681894,0,0.1,1.16005e-06,206053,26655.1,10302.6,0.01,0.95,10,10000,0.938,0.497,2,2,0.129361,0,1
25,10000,1.25235,1,1.77828,0.000178901,0.0001,0.000398107,0.238107,0.2,0.25,0.256345,0.2,0.3,1.16005e-06,412106,65291.4,20605.3,0.01,0.95,10,10000,0.938,0.497,4,2,0.129361,0,0.5
26,10000,1.15968,1,1.77828,0.000149141,0.0001,0.000398107,0.242544,0.2,0.25,0.319885,0.3,0.4,1.16005e-06,515132,126436,25756.6,0.01,0.95,10,10000,0.938,0.497,5,1,0.182943,0,0.2
