id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.52952,1,1.77828,0.000273734,0.0001,0.000398107,0.0752394,0.05,0.1,0.154755,0.1,0.2,1.16005e-06,39425.1,34978.3,1421.49,0.01,0.95,10,10000,0.938,0.139,10,2,0.661286,0,0.2
2,10000,1.37834,1,1.77828,0.000220868,0.0001,0.000398107,0.0696935,0.05,0.1,0.244386,0.2,0.3,1.16005e-06,43367.6,30774.4,1563.64,0.01,0.95,10,10000,0.938,0.139,11,3,0.539938,0,0.272727
3,10000,1.53206,1,1.77828,0.000283597,0.0001,0.000398107,0.0814358,0.05,0.1,0.358303,0.3,0.4,1.16005e-06,43367.6,22548.3,1563.64,0.01,0.95,10,10000,0.938,0.139,11,5,0.418234,0,0.454545
4,10000,1.36248,1,1.77828,0.000213983,0.0001,0.000398107,0.0784767,0.05,0.1,0.455834,0.4,0.5,1.16005e-06,43367.6,30774.4,1563.64,0.01,0.95,10,10000,0.938,0.139,11,3,0.539938,0,0.272727
5,10000,1.37566,1,1.77828,0.00022464,0.0001,0.000398107,0.07879,0.05,0.1,0.536477,0.5,0.6,1.16005e-06,35482.6,24733.4,1279.34,0.01,0.95,10,10000,0.938,0.139,9,3,0.539938,0,0.333333
6,10000,1.40177,1,1.77828,0.000234895,0.0001,0.000398107,0.0679637,0.05,0.1,0.659238,0.6,0.7,1.16005e-06,23655.1,12772.3,852.896,0.01,0.95,10,10000,0.938,0.139,6,4,0.4676,0,0.666667
7,10000,1.54596,1,1.77828,0.000274573,0.0001,0.000398107,0.0593169,0.05,0.1,0.742244,0.7,0.8,1.16005e-06,23655.1,10686,852.896,0.01,0.95,10,10000,0.938,0.139,6,5,0.418234,0,0.833333
8,10000,1.44799,1,1.77828,0.000279509,0.0001,0.000398107,0.0756379,0.05,0.1,0.830055,0.8,0.9,1.16005e-06,11827.5,9031.36,426.448,0.01,0.95,10,10000,0.938,0.139,3,2,0.661286,0,0.666667
9,10000,1.49866,1,1.77828,0.000270443,0.0001,0.000398107,0.0766818,0.05,0.1,0.94229,0.9,1,1.16005e-06,19712.6,10097.4,710.747,0.01,0.95,10,10000,0.938,0.139,5,4,0.4676,0,0.8
10,10000,1.63283,1,1.77828,0.00031088,0.0001,0.000398107,0.0739844,0.05,0.1,1.23387,1,1.5,5.80027e-06,3942.51,2518.73,142.149,0.01,0.95,10,10000,0.938,0.139,5,3,0.539938,0,0.6
11,10000,1.50925,1,1.77828,0.000276492,0.0001,0.000398107,0.123176,0.1,0.15,0.189972,0.1,0.2,1.16005e-06,15770,12772.3,568.597,0.01,0.95,10,10000,0.938,0.139,4,2,0.661286,0,0.5
12,10000,1.58019,1,1.77828,0.000329377,0.0001,0.000398107,0.11006,0.1,0.15,0.271754,0.2,0.3,1.16005e-06,11827.5,6386.14,426.448,0.01,0.95,10,10000,0.938,0.139,3,3,0.539938,0,1
13,10000,1.5131,1,1.77828,0.000290876,0.0001,0.000398107,0.110879,0.1,0.15,0.374169,0.3,0.4,1.16005e-06,27597.6,18679.4,995.045,0.01,0.95,10,10000,0.938,0.139,7,3,0.539938,0,0.428571
14,10000,1.56136,1,1.77828,0.000278705,0.0001,0.000398107,0.113259,0.1,0.15,0.453099,0.4,0.5,1.16005e-06,27597.6,13087.7,995.045,0.01,0.95,10,10000,0.938,0.139,7,5,0.418234,0,0.714286
15,10000,1.36015,1,1.77828,0.000234255,0.0001,0.000398107,0.113744,0.1,0.15,0.526984,0.5,0.6,1.16005e-06,23655.1,12772.3,852.896,0.01,0.95,10,10000,0.938,0.139,6,4,0.4676,0,0.666667
16,10000,1.26769,1,1.77828,0.000190477,0.0001,0.000398107,0.11202,0.1,0.15,0.678972,0.6,0.7,1.16005e-06,23655.1,15642.8,852.896,0.01,0.95,10,10000,0.938,0.139,6,3,0.539938,0,0.5
17,10000,1.36245,1,1.77828,0.000256773,0.0001,0.000398107,0.113788,0.1,0.15,0.708689,0.7,0.8,1.16005e-06,11827.5,9031.36,426.448,0.01,0.95,10,10000,0.938,0.139,3,2,0.661286,0,0.666667
