id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.32709,1,1.77828,0.000287545,0.0001,0.000398107,0.0876572,0.05,0.1,0.182097,0.1,0.2,1.16005e-06,3.91373e+09,6.2578e+07,1.41112e+08,0.01,0.95,10,10000,0.938,0.497,3203,22,0.0113256,0,0.00686856
2,10000,1.18918,1,1.77828,0.000265748,0.0001,0.000398107,0.0754724,0.05,0.1,0.264297,0.2,0.3,1.16005e-06,4.90713e+09,1.81597e+07,1.76929e+08,0.01,0.95,10,10000,0.938,0.497,4016,392,0.00268306,0,0.0976096
3,10000,1.19063,1,1.77828,0.000264689,0.0001,0.000398107,0.0738487,0.05,0.1,0.349506,0.3,0.4,1.16005e-06,5.24071e+09,1.30666e+07,1.88956e+08,0.01,0.95,10,10000,0.938,0.497,4289,821,0.00185397,0,0.19142
4,10000,1.21399,1,1.77828,0.000266238,0.0001,0.000398107,0.0760673,0.05,0.1,0.452466,0.4,0.5,1.16005e-06,4.34139e+09,1.22559e+07,1.56531e+08,0.01,0.95,10,10000,0.938,0.497,3553,644,0.0020933,0,0.181255
5,10000,1.20022,1,1.77828,0.000264427,0.0001,0.000398107,0.0733036,0.05,0.1,0.553676,0.5,0.6,1.16005e-06,3.73411e+09,7.3129e+06,1.34635e+08,0.01,0.95,10,10000,0.938,0.497,3056,1186,0.00154252,0,0.388089
6,10000,1.20246,1,1.77828,0.000267748,0.0001,0.000398107,0.07186,0.05,0.1,0.649055,0.6,0.7,1.16005e-06,2.72605e+09,4.25052e+06,9.82891e+07,0.01,0.95,10,10000,0.938,0.497,2231,1527,0.00135942,0,0.684446
7,10000,1.2035,1,1.77828,0.000270432,0.0001,0.000398107,0.0726432,0.05,0.1,0.74812,0.7,0.8,1.16005e-06,2.06622e+09,3.56468e+06,7.44988e+07,0.01,0.95,10,10000,0.938,0.497,1691,1215,0.001524,0,0.71851
8,10000,1.19936,1,1.77828,0.000266505,0.0001,0.000398107,0.0726665,0.05,0.1,0.846888,0.8,0.9,1.16005e-06,1.40029e+09,2.64241e+06,5.04882e+07,0.01,0.95,10,10000,0.938,0.497,1146,937,0.00173542,0,0.817627
9,10000,1.20112,1,1.77828,0.000263521,0.0001,0.000398107,0.0729617,0.05,0.1,0.949524,0.9,1,1.16005e-06,9.70185e+08,2.14093e+06,3.49805e+07,0.01,0.95,10,10000,0.938,0.497,794,670,0.00205228,0,0.843829
10,10000,1.20466,1,1.77828,0.000268916,0.0001,0.000398107,0.0729061,0.05,0.1,1.1801,1,1.5,5.80027e-06,3.67546e+08,594206,1.32521e+07,0.01,0.95,10,10000,0.938,0.497,1504,1257,0.00149833,0,0.835771
11,10000,1.23829,1,1.77828,0.00028693,0.0001,0.000398107,0.125532,0.1,0.15,0.172772,0.1,0.2,1.16005e-06,2.13709e+09,2.00445e+07,7.7054e+07,0.01,0.95,10,10000,0.938,0.497,1749,63,0.00669274,0,0.0360206
12,10000,1.24144,1,1.77828,0.000260743,0.0001,0.000398107,0.12292,0.1,0.15,0.259166,0.2,0.3,1.16005e-06,2.82013e+09,1.05948e+07,1.01681e+08,0.01,0.95,10,10000,0.938,0.497,2308,368,0.00276917,0,0.159445
13,10000,1.23136,1,1.77828,0.000243105,0.0001,0.000398107,0.123537,0.1,0.15,0.353686,0.3,0.4,1.16005e-06,2.89345e+09,6.91792e+06,1.04325e+08,0.01,0.95,10,10000,0.938,0.497,2368,817,0.0018585,0,0.345017
14,10000,1.22667,1,1.77828,0.000242407,0.0001,0.000398107,0.12466,0.1,0.15,0.450796,0.4,0.5,1.16005e-06,2.52199e+09,5.10109e+06,9.09317e+07,0.01,0.95,10,10000,0.938,0.497,2064,1034,0.00165201,0,0.500969
15,10000,1.22241,1,1.77828,0.000256884,0.0001,0.000398107,0.124016,0.1,0.15,0.549103,0.5,0.6,1.16005e-06,2.03812e+09,3.96659e+06,7.34855e+07,0.01,0.95,10,10000,0.938,0.497,1668,1030,0.00165522,0,0.617506
