id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.22459,1,1.77828,0.000252235,0.0001,0.000398107,0.0850612,0.05,0.1,0.183649,0.1,0.2,1.16005e-06,4.00904e+09,6.72437e+07,1.44548e+08,0.01,0.95,10,10000,0.938,0.497,3281,20,0.0118784,0,0.0060957
2,10000,1.20928,1,1.77828,0.000267699,0.0001,0.000398107,0.0752023,0.05,0.1,0.263606,0.2,0.3,1.16005e-06,5.13685e+09,1.92384e+07,1.85212e+08,0.01,0.95,10,10000,0.938,0.497,4204,384,0.00271087,0,0.0913416
3,10000,1.20206,1,1.77828,0.000261079,0.0001,0.000398107,0.075235,0.05,0.1,0.349404,0.3,0.4,1.16005e-06,5.14418e+09,1.35479e+07,1.85476e+08,0.01,0.95,10,10000,0.938,0.497,4210,742,0.00195017,0,0.176247
4,10000,1.21788,1,1.77828,0.00026697,0.0001,0.000398107,0.0761472,0.05,0.1,0.451694,0.4,0.5,1.16005e-06,4.56867e+09,1.20857e+07,1.64726e+08,0.01,0.95,10,10000,0.938,0.497,3739,728,0.00196883,0,0.194704
5,10000,1.19282,1,1.77828,0.000267449,0.0001,0.000398107,0.0732927,0.05,0.1,0.555185,0.5,0.6,1.16005e-06,3.57038e+09,6.80973e+06,1.28732e+08,0.01,0.95,10,10000,0.938,0.497,2922,1226,0.00151715,0,0.419576
6,10000,1.20024,1,1.77828,0.000267785,0.0001,0.000398107,0.0717308,0.05,0.1,0.648576,0.6,0.7,1.16005e-06,2.79081e+09,4.29711e+06,1.00624e+08,0.01,0.95,10,10000,0.938,0.497,2284,1565,0.00134282,0,0.685201
7,10000,1.18954,1,1.77828,0.000268785,0.0001,0.000398107,0.0721838,0.05,0.1,0.747895,0.7,0.8,1.16005e-06,1.89883e+09,3.32045e+06,6.84631e+07,0.01,0.95,10,10000,0.938,0.497,1554,1158,0.00156106,0,0.745174
8,10000,1.20763,1,1.77828,0.000268895,0.0001,0.000398107,0.0736385,0.05,0.1,0.847242,0.8,0.9,1.16005e-06,1.39663e+09,2.77641e+06,5.03561e+07,0.01,0.95,10,10000,0.938,0.497,1143,879,0.00179176,0,0.769029
9,10000,1.20286,1,1.77828,0.000270235,0.0001,0.000398107,0.0727844,0.05,0.1,0.945543,0.9,1,1.16005e-06,9.38416e+08,2.14559e+06,3.38351e+07,0.01,0.95,10,10000,0.938,0.497,768,634,0.00210974,0,0.825521
10,10000,1.20934,1,1.77828,0.000263174,0.0001,0.000398107,0.0733802,0.05,0.1,1.17708,1,1.5,5.80027e-06,3.51417e+08,573545,1.26705e+07,0.01,0.95,10,10000,0.938,0.497,1438,1220,0.00152088,0,0.848401
11,10000,1.21116,1,1.77828,0.000283075,0.0001,0.000398107,0.127187,0.1,0.15,0.173775,0.1,0.2,1.16005e-06,2.14809e+09,1.85612e+07,7.74506e+07,0.01,0.95,10,10000,0.938,0.497,1758,74,0.0061753,0,0.0420933
12,10000,1.24473,1,1.77828,0.000261155,0.0001,0.000398107,0.123058,0.1,0.15,0.260665,0.2,0.3,1.16005e-06,2.84702e+09,1.06688e+07,1.02651e+08,0.01,0.95,10,10000,0.938,0.497,2330,370,0.00276168,0,0.158798
13,10000,1.23212,1,1.77828,0.00024263,0.0001,0.000398107,0.123351,0.1,0.15,0.354268,0.3,0.4,1.16005e-06,2.84702e+09,6.88751e+06,1.02651e+08,0.01,0.95,10,10000,0.938,0.497,2330,799,0.00187932,0,0.342918
14,10000,1.24756,1,1.77828,0.000247059,0.0001,0.000398107,0.124269,0.1,0.15,0.45336,0.4,0.5,1.16005e-06,2.57209e+09,5.27341e+06,9.2738e+07,0.01,0.95,10,10000,0.938,0.497,2105,1018,0.00166495,0,0.48361
15,10000,1.20962,1,1.77828,0.000250105,0.0001,0.000398107,0.124938,0.1,0.15,0.5483,0.5,0.6,1.16005e-06,2.12732e+09,3.99611e+06,7.67016e+07,0.01,0.95,10,10000,0.938,0.497,1741,1096,0.00160461,0,0.629523
16,10000,1.2169,1,1.77828,0.000261956,0.0001,0.000398107,0.124553,0.1,0.15,0.648305,0.6,0.7,1.16005e-06,1.61046e+09,3.15226e+06,5.80659e+07,0.01,0.95,10,10000,0.938,0.497,1318,945,0.00172806,0,0.716995
17,10000,1.20078,1,1.77828,0.000267026,0.0001,0.000398107,0.123238,0.1,0.15,0.745492,0.7,0.8,1.16005e-06,1.15958e+09,2.55197e+06,4.18092e+07,0.01,0.95,10,10000,0.938,0.497,949,722,0.00197699,0,0.760801
18,10000,1.20309,1,1.77828,0.000268111,0.0001,0.000398107,0.123688,0.1,0.15,0.846183,0.8,0.9,1.16005e-06,8.00341e+08,1.9837e+06,2.88567e+07,0.01,0.95,10,10000,0.938,0.497,655,540,0.002286,0,0.824427
19,10000,1.20291,1,1.77828,0.000269269,0.0001,0.000398107,0.122518,0.1,0.15,0.948836,0.9,1,1.16005e-06,6.42717e+08,1.76603e+06,2.31735e+07,0.01,0.95,10,10000,0.938,0.497,526,437,0.00254117,0,0.830798
20,10000,1.20757,1,1.77828,0.000268743,0.0001,0.000398107,0.123958,0.1,0.15,1.18051,1,1.5,5.80027e-06,2.3436e+08,456391,8.44995e+06,0.01,0.95,10,10000,0.938,0.497,959,838,0.00183507,0,0.873827
21,10000,1.22073,1,1.77828,0.000324463,0.0001,0.000398107,0.176696,0.15,0.2,0.0737418,0,0.1,1.16005e-06,4.65542e+08,1.74411e+07,1.67854e+07,0.01,0.95,10,10000,0.938,0.497,381,4,0.026561,0,0.0104987
22,10000,1.18285,1,1.77828,0.000310808,0.0001,0.000398107,0.174104,0.15,0.2,0.166956,0.1,0.2,1.16005e-06,1.26833e+09,1.10329e+07,4.57302e+07,0.01,0.95,10,10000,0.938,0.497,1038,72,0.00626048,0,0.0693642
23,10000,1.17155,1,1.77828,0.00028602,0.0001,0.000398107,0.174738,0.15,0.2,0.254848,0.2,0.3,1.16005e-06,1.86706e+09,8.40923e+06,6.73177e+07,0.01,0.95,10,10000,0.938,0.497,1528,255,0.00332663,0,0.166885
24,10000,1.18729,1,1.77828,0.000277839,0.0001,0.000398107,0.172999,0.15,0.2,0.355196,0.3,0.4,1.16005e-06,1.90249e+09,5.97777e+06,6.85953e+07,0.01,0.95,10,10000,0.938,0.497,1557,483,0.00241713,0,0.310212
25,10000,1.18457,1,1.77828,0.000265555,0.0001,0.000398107,0.173166,0.15,0.2,0.453967,0.4,0.5,1.16005e-06,1.6129e+09,3.85842e+06,5.8154e+07,0.01,0.95,10,10000,0.938,0.497,1320,718,0.00198249,0,0.543939
26,10000,1.20004,1,1.77828,0.000267861,0.0001,0.000398107,0.172306,0.15,0.2,0.548702,0.5,0.6,1.16005e-06,1.4064e+09,3.10317e+06,5.07085e+07,0.01,0.95,10,10000,0.938,0.497,1151,771,0.00191314,0,0.669852
27,10000,1.20656,1,1.77828,0.000260723,0.0001,0.000398107,0.173708,0.15,0.2,0.649132,0.6,0.7,1.16005e-06,9.97067e+08,2.27032e+06,3.59497e+07,0.01,0.95,10,10000,0.938,0.497,816,653,0.00207882,0,0.800245
28,10000,1.1998,1,1.77828,0.00026761,0.0001,0.000398107,0.17402,0.15,0.2,0.747549,0.7,0.8,1.16005e-06,7.62463e+08,1.9122e+06,2.7491e+07,0.01,0.95,10,10000,0.938,0.497,624,522,0.00232508,0,0.836538
29,10000,1.20558,1,1.77828,0.000267238,0.0001,0.000398107,0.172988,0.15,0.2,0.848601,0.8,0.9,1.16005e-06,5.32746e+08,1.58614e+06,1.92084e+07,0.01,0.95,10,10000,0.938,0.497,436,368,0.00276917,0,0.844037
30,10000,1.18937,1,1.77828,0.000267267,0.0001,0.000398107,0.1717,0.15,0.2,0.946448,0.9,1,1.16005e-06,4.10557e+08,1.41212e+06,1.48028e+07,0.01,0.95,10,10000,0.938,0.497,336,279,0.00318033,0,0.830357
31,10000,1.19685,1,1.77828,0.000266553,0.0001,0.000398107,0.174577,0.15,0.2,1.18927,1,1.5,5.80027e-06,1.6129e+08,394001,5.8154e+06,0.01,0.95,10,10000,0.938,0.497,660,551,0.00226307,0,0.834848
32,10000,1.21165,1,1.77828,0.000297561,0.0001,0.000398107,0.231238,0.2,0.25,0.0728443,0,0.1,1.16005e-06,3.27468e+08,8.63271e+06,1.1807e+07,0.01,0.95,10,10000,0.938,0.497,268,8,0.0187814,0,0.0298507
33,10000,1.18758,1,1.77828,0.000300452,0.0001,0.000398107,0.225896,0.2,0.25,0.158093,0.1,0.2,1.16005e-06,8.3822e+08,7.02046e+06,3.02225e+07,0.01,0.95,10,10000,0.938,0.497,686,76,0.0060935,0,0.110787
34,10000,1.17758,1,1.77828,0.000287067,0.0001,0.000398107,0.225962,0.2,0.25,0.257538,0.2,0.3,1.16005e-06,1.1889e+09,6.13743e+06,4.28665e+07,0.01,0.95,10,10000,0.938,0.497,973,191,0.00384377,0,0.1963
35,10000,1.17616,1,1.77828,0.000283863,0.0001,0.000398107,0.224206,0.2,0.25,0.351451,0.3,0.4,1.16005e-06,1.28543e+09,4.93462e+06,4.6347e+07,0.01,0.95,10,10000,0.938,0.497,1052,324,0.00295122,0,0.307985
36,10000,1.17281,1,1.77828,0.00028012,0.0001,0.000398107,0.224376,0.2,0.25,0.450458,0.4,0.5,1.16005e-06,1.12292e+09,3.59893e+06,4.04875e+07,0.01,0.95,10,10000,0.938,0.497,919,423,0.00258288,0,0.460283
37,10000,1.1834,1,1.77828,0.000273607,0.0001,0.000398107,0.222373,0.2,0.25,0.552506,0.5,0.6,1.16005e-06,9.0909e+08,2.74571e+06,3.27777e+07,0.01,0.95,10,10000,0.938,0.497,744,437,0.00254117,0,0.587366
38,10000,1.20516,1,1.77828,0.000277002,0.0001,0.000398107,0.223595,0.2,0.25,0.648392,0.6,0.7,1.16005e-06,6.92815e+08,2.03056e+06,2.49798e+07,0.01,0.95,10,10000,0.938,0.497,567,416,0.00260452,0,0.733686
39,10000,1.20628,1,1.77828,0.000269803,0.0001,0.000398107,0.224781,0.2,0.25,0.748354,0.7,0.8,1.16005e-06,5.59628e+08,1.70675e+06,2.01777e+07,0.01,0.95,10,10000,0.938,0.497,458,365,0.00278053,0,0.796943
40,10000,1.18826,1,1.77828,0.000267366,0.0001,0.000398107,0.223099,0.2,0.25,0.846022,0.8,0.9,1.16005e-06,3.60459e+08,1.35106e+06,1.29965e+07,0.01,0.95,10,10000,0.938,0.497,295,239,0.00343617,0,0.810169
41,10000,1.22489,1,1.77828,0.000273676,0.0001,0.000398107,0.223518,0.2,0.25,0.945963,0.9,1,1.16005e-06,2.62707e+08,1.10573e+06,9.47205e+06,0.01,0.95,10,10000,0.938,0.497,215,183,0.00392689,0,0.851163
42,10000,1.20542,1,1.77828,0.000266957,0.0001,0.000398107,0.224444,0.2,0.25,1.17111,1,1.5,5.80027e-06,1.29277e+08,352489,4.66113e+06,0.01,0.95,10,10000,0.938,0.497,529,442,0.00252675,0,0.835539
43,10000,1.29337,1,1.77828,0.000248774,0.0001,0.000398107,0.278418,0.25,0.3,0.0736547,0,0.1,1.16005e-06,2.18719e+08,3.47888e+06,7.88603e+06,0.01,0.95,10,10000,0.938,0.497,179,21,0.0115922,0,0.117318
44,10000,1.22204,1,1.77828,0.000260074,0.0001,0.000398107,0.277651,0.25,0.3,0.158356,0.1,0.2,1.16005e-06,6.0606e+08,4.05211e+06,2.18518e+07,0.01,0.95,10,10000,0.938,0.497,496,112,0.00501955,0,0.225806
45,10000,1.1953,1,1.77828,0.00027286,0.0001,0.000398107,0.27424,0.25,0.3,0.251923,0.2,0.3,1.16005e-06,8.55327e+08,4.18225e+06,3.08392e+07,0.01,0.95,10,10000,0.938,0.497,700,202,0.00373765,0,0.288571
46,10000,1.19814,1,1.77828,0.000271191,0.0001,0.000398107,0.274596,0.25,0.3,0.350018,0.3,0.4,1.16005e-06,9.24975e+08,3.82478e+06,3.33504e+07,0.01,0.95,10,10000,0.938,0.497,757,271,0.00322693,0,0.357992
47,10000,1.20226,1,1.77828,0.000273878,0.0001,0.000398107,0.274703,0.25,0.3,0.451256,0.4,0.5,1.16005e-06,8.06451e+08,3.03556e+06,2.9077e+07,0.01,0.95,10,10000,0.938,0.497,660,306,0.00303678,0,0.463636
48,10000,1.19259,1,1.77828,0.000274033,0.0001,0.000398107,0.27456,0.25,0.3,0.549095,0.5,0.6,1.16005e-06,6.91593e+08,2.31305e+06,2.49357e+07,0.01,0.95,10,10000,0.938,0.497,566,349,0.00284355,0,0.616608
49,10000,1.18653,1,1.77828,0.000276577,0.0001,0.000398107,0.273321,0.25,0.3,0.645909,0.6,0.7,1.16005e-06,5.07087e+08,1.86833e+06,1.82833e+07,0.01,0.95,10,10000,0.938,0.497,415,277,0.00319179,0,0.66747
50,10000,1.1952,1,1.77828,0.000267245,0.0001,0.000398107,0.274379,0.25,0.3,0.750513,0.7,0.8,1.16005e-06,4.09335e+08,1.49189e+06,1.47588e+07,0.01,0.95,10,10000,0.938,0.497,335,260,0.00329448,0,0.776119
51,10000,1.19979,1,1.77828,0.000264372,0.0001,0.000398107,0.273998,0.25,0.3,0.847811,0.8,0.9,1.16005e-06,2.68817e+08,1.16805e+06,9.69233e+06,0.01,0.95,10,10000,0.938,0.497,220,178,0.00398166,0,0.809091
52,10000,1.23223,1,1.77828,0.000262393,0.0001,0.000398107,0.272718,0.25,0.3,0.947131,0.9,1,1.16005e-06,1.91838e+08,993462,6.9168e+06,0.01,0.95,10,10000,0.938,0.497,157,126,0.00473248,0,0.802548
53,10000,1.21072,1,1.77828,0.000271369,0.0001,0.000398107,0.273219,0.25,0.3,1.19859,1,1.5,5.80027e-06,9.72629e+07,312592,3.50686e+06,0.01,0.95,10,10000,0.938,0.497,398,324,0.00295122,0,0.81407
54,10000,1.25479,1,1.77828,0.000249079,0.0001,0.000398107,0.355603,0.3,0.4,0.0609717,0,0.1,2.32011e-06,1.39907e+08,1.13716e+06,5.04442e+06,0.01,0.95,10,10000,0.938,0.497,229,72,0.00626048,0,0.31441
55,10000,1.23744,1,1.77828,0.000256592,0.0001,0.000398107,0.354003,0.3,0.4,0.158668,0.1,0.2,2.32011e-06,3.76955e+08,1.8897e+06,1.35913e+07,0.01,0.95,10,10000,0.938,0.497,617,190,0.00385387,0,0.307942
56,10000,1.19998,1,1.77828,0.000252181,0.0001,0.000398107,0.349912,0.3,0.4,0.25093,0.2,0.3,2.32011e-06,4.93646e+08,1.76745e+06,1.77986e+07,0.01,0.95,10,10000,0.938,0.497,808,346,0.00285585,0,0.428218
57,10000,1.22826,1,1.77828,0.000263514,0.0001,0.000398107,0.346243,0.3,0.4,0.351448,0.3,0.4,2.32011e-06,5.50464e+08,1.62133e+06,1.98473e+07,0.01,0.95,10,10000,0.938,0.497,901,478,0.00242974,0,0.530522
58,10000,1.21574,1,1.77828,0.000258464,0.0001,0.000398107,0.346374,0.3,0.4,0.449405,0.4,0.5,2.32011e-06,5.49853e+08,1.56995e+06,1.98252e+07,0.01,0.95,10,10000,0.938,0.497,900,500,0.00237569,0,0.555556
59,10000,1.19554,1,1.77828,0.000263199,0.0001,0.000398107,0.347689,0.3,0.4,0.547286,0.5,0.6,2.32011e-06,4.35606e+08,1.33221e+06,1.5706e+07,0.01,0.95,10,10000,0.938,0.497,713,424,0.00257983,0,0.59467
60,10000,1.22513,1,1.77828,0.000270206,0.0001,0.000398107,0.347047,0.3,0.4,0.646477,0.6,0.7,2.32011e-06,3.42131e+08,1.0675e+06,1.23357e+07,0.01,0.95,10,10000,0.938,0.497,560,382,0.00271796,0,0.682143
61,10000,1.21326,1,1.77828,0.000266378,0.0001,0.000398107,0.346307,0.3,0.4,0.747909,0.7,0.8,2.32011e-06,2.65762e+08,889617,9.58219e+06,0.01,0.95,10,10000,0.938,0.497,435,319,0.00297426,0,0.733333
62,10000,1.22564,1,1.77828,0.000273525,0.0001,0.000398107,0.344505,0.3,0.4,0.843467,0.8,0.9,2.32011e-06,1.71676e+08,658471,6.18988e+06,0.01,0.95,10,10000,0.938,0.497,281,228,0.00351809,0,0.811388
63,10000,1.20661,1,1.77828,0.000270988,0.0001,0.000398107,0.341858,0.3,0.4,0.94998,0.9,1,2.32011e-06,1.37463e+08,607419,4.95631e+06,0.01,0.95,10,10000,0.938,0.497,225,176,0.00400422,0,0.782222
64,10000,1.21435,1,1.77828,0.000273794,0.0001,0.000398107,0.342681,0.3,0.4,1.19919,1,1.5,1.16005e-05,5.69403e+07,163376,2.05301e+06,0.01,0.95,10,10000,0.938,0.497,466,395,0.00267286,0,0.847639
65,10000,1.21347,1,1.77828,0.000246278,0.0001,0.000398107,0.447842,0.4,0.5,0.0654225,0,0.1,2.32011e-06,9.59188e+07,656872,3.4584e+06,0.01,0.95,10,10000,0.938,0.497,157,87,0.00569527,0,0.55414
66,10000,1.21715,1,1.77828,0.000262965,0.0001,0.000398107,0.449268,0.4,0.5,0.156541,0.1,0.2,2.32011e-06,2.50489e+08,1.10586e+06,9.03149e+06,0.01,0.95,10,10000,0.938,0.497,410,214,0.00363134,0,0.521951
67,10000,1.20757,1,1.77828,0.000262458,0.0001,0.000398107,0.446992,0.4,0.5,0.247337,0.2,0.3,2.32011e-06,3.11583e+08,1.14084e+06,1.12343e+07,0.01,0.95,10,10000,0.938,0.497,510,298,0.00307727,0,0.584314
68,10000,1.21147,1,1.77828,0.000258442,0.0001,0.000398107,0.447778,0.4,0.5,0.348492,0.3,0.4,2.32011e-06,2.98753e+08,1.0103e+06,1.07717e+07,0.01,0.95,10,10000,0.938,0.497,489,328,0.00293317,0,0.670757
69,10000,1.20685,1,1.77828,0.000257423,0.0001,0.000398107,0.445084,0.4,0.5,0.449456,0.4,0.5,2.32011e-06,2.92644e+08,998266,1.05514e+07,0.01,0.95,10,10000,0.938,0.497,479,322,0.00296037,0,0.672234
70,10000,1.20912,1,1.77828,0.000265009,0.0001,0.000398107,0.443066,0.4,0.5,0.546476,0.5,0.6,2.32011e-06,2.46823e+08,903184,8.89932e+06,0.01,0.95,10,10000,0.938,0.497,404,277,0.00319179,0,0.685644
71,10000,1.1998,1,1.77828,0.000257865,0.0001,0.000398107,0.447686,0.4,0.5,0.644958,0.6,0.7,2.32011e-06,2.00391e+08,778959,7.22519e+06,0.01,0.95,10,10000,0.938,0.497,328,238,0.00344338,0,0.72561
72,10000,1.21274,1,1.77828,0.000270185,0.0001,0.000398107,0.445746,0.4,0.5,0.74456,0.7,0.8,2.32011e-06,1.50904e+08,642438,5.44092e+06,0.01,0.95,10,10000,0.938,0.497,247,191,0.00384377,0,0.773279
73,10000,1.21072,1,1.77828,0.000266561,0.0001,0.000398107,0.446026,0.4,0.5,0.85101,0.8,0.9,2.32011e-06,9.40859e+07,500687,3.39232e+06,0.01,0.95,10,10000,0.938,0.497,154,121,0.00482927,0,0.785714
74,10000,1.23574,1,1.77828,0.000272049,0.0001,0.000398107,0.446991,0.4,0.5,0.943547,0.9,1,2.32011e-06,8.1867e+07,479274,2.95176e+06,0.01,0.95,10,10000,0.938,0.497,134,102,0.00525986,0,0.761194
