id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[pb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error, efficiency 
1,10000,1.29265,1,1.77828,0.000220572,0.0001,0.000398107,0.0866629,0.05,0.1,0.0697153,0,0.1,1.16005e-06,1.28971e+10,4.47302e+07,4.65012e+08,0.01,0.95,10,10000,0.938,0.139,10555,459,0.00247952,0,0.0434865
2,10000,1.25384,1,1.77828,0.000240416,0.0001,0.000398107,0.081401,0.05,0.1,0.163149,0.1,0.2,1.16005e-06,3.60765e+10,5.0678e+07,1.30076e+09,0.01,0.95,10,10000,0.938,0.139,29525,2728,0.00101707,0,0.0923963
3,10000,1.19484,1,1.77828,0.000267143,0.0001,0.000398107,0.073264,0.05,0.1,0.25719,0.2,0.3,1.16005e-06,4.25024e+10,2.91944e+07,1.53245e+09,0.01,0.95,10,10000,0.938,0.139,34784,10207,0.000525805,0,0.29344
4,10000,1.19119,1,1.77828,0.000271911,0.0001,0.000398107,0.0718423,0.05,0.1,0.350438,0.3,0.4,1.16005e-06,3.6162e+10,1.90885e+07,1.30384e+09,0.01,0.95,10,10000,0.938,0.139,29595,15091,0.000432429,0,0.509917
5,10000,1.18985,1,1.77828,0.000271868,0.0001,0.000398107,0.0711233,0.05,0.1,0.449437,0.4,0.5,1.16005e-06,2.70198e+10,1.34705e+07,9.74212e+08,0.01,0.95,10,10000,0.938,0.139,22113,15004,0.000433681,0,0.678515
6,10000,1.19238,1,1.77828,0.000269066,0.0001,0.000398107,0.071484,0.05,0.1,0.547441,0.5,0.6,1.16005e-06,1.89773e+10,1.01684e+07,6.84235e+08,0.01,0.95,10,10000,0.938,0.139,15531,12039,0.000484149,0,0.775159
7,10000,1.19872,1,1.77828,0.000267555,0.0001,0.000398107,0.0718826,0.05,0.1,0.646918,0.6,0.7,1.16005e-06,1.3045e+10,8.04017e+06,4.70343e+08,0.01,0.95,10,10000,0.938,0.139,10676,8761,0.000567541,0,0.820626
8,10000,1.1962,1,1.77828,0.000266112,0.0001,0.000398107,0.0718834,0.05,0.1,0.746813,0.7,0.8,1.16005e-06,8.8062e+09,6.38767e+06,3.17512e+08,0.01,0.95,10,10000,0.938,0.139,7207,6150,0.000677386,0,0.853337
9,10000,1.19983,1,1.77828,0.000265104,0.0001,0.000398107,0.0723845,0.05,0.1,0.846519,0.8,0.9,1.16005e-06,5.84799e+09,5.22775e+06,2.10852e+08,0.01,0.95,10,10000,0.938,0.139,4786,4064,0.000833292,0,0.849143
10,10000,1.20385,1,1.77828,0.000267067,0.0001,0.000398107,0.072683,0.05,0.1,0.94678,0.9,1,1.16005e-06,3.80498e+09,4.28863e+06,1.37191e+08,0.01,0.95,10,10000,0.938,0.139,3114,2593,0.00104321,0,0.832691
11,10000,1.21086,1,1.77828,0.000263837,0.0001,0.000398107,0.0731888,0.05,0.1,1.16541,1,1.5,5.80027e-06,1.34726e+09,1.18914e+06,4.85762e+07,0.01,0.95,10,10000,0.938,0.139,5513,4372,0.000803404,0,0.793035
12,10000,1.24844,1,1.77828,0.000237417,0.0001,0.000398107,0.125314,0.1,0.15,0.0677874,0,0.1,1.16005e-06,4.75562e+09,8.92847e+06,1.71466e+08,0.01,0.95,10,10000,0.938,0.139,3892,1328,0.00145772,0,0.341213
13,10000,1.24525,1,1.77828,0.000240024,0.0001,0.000398107,0.124605,0.1,0.15,0.157314,0.1,0.2,1.16005e-06,1.45503e+10,1.37895e+07,5.2462e+08,0.01,0.95,10,10000,0.938,0.139,11908,4972,0.00075337,0,0.417534
14,10000,1.22867,1,1.77828,0.00024725,0.0001,0.000398107,0.123977,0.1,0.15,0.2523,0.2,0.3,1.16005e-06,1.97507e+10,1.3816e+07,7.12122e+08,0.01,0.95,10,10000,0.938,0.139,16164,8501,0.000576154,0,0.525922
15,10000,1.21635,1,1.77828,0.000254772,0.0001,0.000398107,0.123509,0.1,0.15,0.350031,0.3,0.4,1.16005e-06,1.84506e+10,1.17685e+07,6.65247e+08,0.01,0.95,10,10000,0.938,0.139,15100,9506,0.000544848,0,0.629536
16,10000,1.2072,1,1.77828,0.000261998,0.0001,0.000398107,0.123056,0.1,0.15,0.448231,0.4,0.5,1.16005e-06,1.41251e+10,9.41735e+06,5.09288e+08,0.01,0.95,10,10000,0.938,0.139,11560,8196,0.000586777,0,0.708997
17,10000,1.20196,1,1.77828,0.000266524,0.0001,0.000398107,0.122829,0.1,0.15,0.548024,0.5,0.6,1.16005e-06,1.00318e+10,7.58249e+06,3.617e+08,0.01,0.95,10,10000,0.938,0.139,8210,6168,0.000676397,0,0.751279
18,10000,1.19892,1,1.77828,0.000267584,0.0001,0.000398107,0.122698,0.1,0.15,0.647065,0.6,0.7,1.16005e-06,7.22751e+09,6.11515e+06,2.60592e+08,0.01,0.95,10,10000,0.938,0.139,5915,4731,0.00077232,0,0.799831
19,10000,1.19155,1,1.77828,0.000268121,0.0001,0.000398107,0.122864,0.1,0.15,0.746612,0.7,0.8,1.16005e-06,4.88636e+09,4.90899e+06,1.7618e+08,0.01,0.95,10,10000,0.938,0.139,3999,3291,0.000925998,0,0.822956
20,10000,1.19594,1,1.77828,0.000264918,0.0001,0.000398107,0.122441,0.1,0.15,0.846437,0.8,0.9,1.16005e-06,3.15005e+09,3.91097e+06,1.13577e+08,0.01,0.95,10,10000,0.938,0.139,2578,2141,0.00114806,0,0.830489
21,10000,1.19623,1,1.77828,0.000267907,0.0001,0.000398107,0.123038,0.1,0.15,0.946747,0.9,1,1.16005e-06,2.18597e+09,3.28578e+06,7.88163e+07,0.01,0.95,10,10000,0.938,0.139,1789,1471,0.00138506,0,0.822247
22,10000,1.19999,1,1.77828,0.000266267,0.0001,0.000398107,0.123726,0.1,0.15,1.176,1,1.5,5.80027e-06,8.16959e+08,899092,2.94559e+07,0.01,0.95,10,10000,0.938,0.139,3343,2746,0.00101373,0,0.821418
23,10000,1.22448,1,1.77828,0.000260611,0.0001,0.000398107,0.173974,0.15,0.2,0.0656809,0,0.1,1.16005e-06,2.44868e+09,4.42125e+06,8.82883e+07,0.01,0.95,10,10000,0.938,0.139,2004,1209,0.00152778,0,0.603293
24,10000,1.21019,1,1.77828,0.000253448,0.0001,0.000398107,0.173334,0.15,0.2,0.157141,0.1,0.2,1.16005e-06,7.11387e+09,7.09911e+06,2.56494e+08,0.01,0.95,10,10000,0.938,0.139,5822,3812,0.000860394,0,0.654758
25,10000,1.20992,1,1.77828,0.000254815,0.0001,0.000398107,0.17365,0.15,0.2,0.251561,0.2,0.3,1.16005e-06,1.09653e+10,8.3253e+06,3.95359e+08,0.01,0.95,10,10000,0.938,0.139,8974,6335,0.000667422,0,0.705928
26,10000,1.20876,1,1.77828,0.000259626,0.0001,0.000398107,0.173769,0.15,0.2,0.349678,0.3,0.4,1.16005e-06,1.09861e+10,7.90189e+06,3.96108e+08,0.01,0.95,10,10000,0.938,0.139,8991,6790,0.000644672,0,0.7552
27,10000,1.20664,1,1.77828,0.000261706,0.0001,0.000398107,0.173652,0.15,0.2,0.448108,0.4,0.5,1.16005e-06,8.84652e+09,6.85468e+06,3.18966e+08,0.01,0.95,10,10000,0.938,0.139,7240,5700,0.000703617,0,0.787293
28,10000,1.20541,1,1.77828,0.000262957,0.0001,0.000398107,0.173207,0.15,0.2,0.547183,0.5,0.6,1.16005e-06,6.51392e+09,5.85668e+06,2.34863e+08,0.01,0.95,10,10000,0.938,0.139,5331,4219,0.000817842,0,0.791409
29,10000,1.19863,1,1.77828,0.000266357,0.0001,0.000398107,0.173541,0.15,0.2,0.646355,0.6,0.7,1.16005e-06,4.4587e+09,4.87592e+06,1.60761e+08,0.01,0.95,10,10000,0.938,0.139,3649,2866,0.000992284,0,0.785421
30,10000,1.19484,1,1.77828,0.000266673,0.0001,0.000398107,0.172868,0.15,0.2,0.746599,0.7,0.8,1.16005e-06,3.08529e+09,4.02785e+06,1.11242e+08,0.01,0.95,10,10000,0.938,0.139,2525,2000,0.00118784,0,0.792079
