id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[fb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error 
1,11000,1.0752,1,1.77828,0.000905496,0.000630957,0.001,0.0533296,0.05,0.1,0.0412118,0,0.05,7.18047e-07,1.17448e+07,8.17196e+06,423466,0.01,0.95,10,10000,0.938,0.497,63,4,0.5,0
2,11000,1.0598,1,1.77828,0.000888797,0.000630957,0.001,0.0616984,0.05,0.1,0.083281,0.05,0.1,7.18047e-07,4.21323e+07,1.62862e+07,1.5191e+06,0.01,0.95,10,10000,0.938,0.497,226,13,0.27735,0
3,11000,1.14061,1,1.77828,0.000863156,0.000630957,0.001,0.064641,0.05,0.1,0.159868,0.1,0.2,1.43609e-06,7.19604e+07,8.61413e+06,2.59457e+06,0.01,0.95,10,10000,0.938,0.497,772,128,0.0883883,0
4,11000,1.19226,1,1.77828,0.000842763,0.000630957,0.001,0.0664471,0.05,0.1,0.25176,0.2,0.3,1.43609e-06,9.33994e+07,7.38291e+06,3.36756e+06,0.01,0.95,10,10000,0.938,0.497,1002,276,0.0601929,0
5,11000,1.23857,1,1.77828,0.000816411,0.000630957,0.001,0.0705105,0.05,0.1,0.349126,0.3,0.4,1.43609e-06,8.80862e+07,5.87704e+06,3.17599e+06,0.01,0.95,10,10000,0.938,0.497,945,363,0.0524864,0
6,11000,1.2571,1,1.77828,0.00081781,0.000630957,0.001,0.0713415,0.05,0.1,0.449797,0.4,0.5,1.43609e-06,7.43839e+07,4.55316e+06,2.68195e+06,0.01,0.95,10,10000,0.938,0.497,798,400,0.05,0
7,11000,1.28443,1,1.77828,0.000797851,0.000630957,0.001,0.0722203,0.05,0.1,0.550139,0.5,0.6,1.43609e-06,5.64871e+07,3.32503e+06,2.03667e+06,0.01,0.95,10,10000,0.938,0.497,606,391,0.0505722,0
8,11000,1.31378,1,1.77828,0.000797491,0.000630957,0.001,0.0731592,0.05,0.1,0.647261,0.6,0.7,1.43609e-06,4.34372e+07,2.85716e+06,1.56615e+06,0.01,0.95,10,10000,0.938,0.497,466,309,0.056888,0
9,11000,1.34265,1,1.77828,0.000811124,0.000630957,0.001,0.0721254,0.05,0.1,0.747429,0.7,0.8,1.43609e-06,2.47946e+07,2.03132e+06,893984,0.01,0.95,10,10000,0.938,0.497,266,191,0.0723575,0
10,11000,1.30698,1,1.77828,0.000965393,0.000630957,0.001,0.126739,0.1,0.15,0.0953599,0.05,0.1,7.18047e-07,2.21847e+07,3.13079e+07,799880,0.01,0.95,10,10000,0.938,0.497,119,1,1,0
11,11000,1.31464,1,1.77828,0.000797648,0.000630957,0.001,0.123736,0.1,0.15,0.167438,0.1,0.2,1.43609e-06,4.18526e+07,1.10098e+07,1.50902e+06,0.01,0.95,10,10000,0.938,0.497,449,28,0.188982,0
12,11000,1.26381,1,1.77828,0.000805118,0.000630957,0.001,0.123644,0.1,0.15,0.25023,0.2,0.3,1.43609e-06,5.22925e+07,8.43114e+06,1.88543e+06,0.01,0.95,10,10000,0.938,0.497,561,72,0.117851,0
13,11000,1.25384,1,1.77828,0.000807211,0.000630957,0.001,0.122837,0.1,0.15,0.353563,0.3,0.4,1.43609e-06,5.42499e+07,6.51244e+06,1.95601e+06,0.01,0.95,10,10000,0.938,0.497,582,124,0.0898027,0
14,11000,1.25105,1,1.77828,0.000826787,0.000630957,0.001,0.12265,0.1,0.15,0.453283,0.4,0.5,1.43609e-06,4.66065e+07,3.90189e+06,1.68042e+06,0.01,0.95,10,10000,0.938,0.497,500,222,0.0671156,0
15,11000,1.25499,1,1.77828,0.000820389,0.000630957,0.001,0.122326,0.1,0.15,0.549959,0.5,0.6,1.43609e-06,3.86834e+07,2.99483e+06,1.39475e+06,0.01,0.95,10,10000,0.938,0.497,415,238,0.0648204,0
