id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[fb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error 
1,11000,1.51264,1,1.77828,0.000966538,0.000630957,0.001,0.0810192,0.05,0.1,0.0839833,0.05,0.1,7.18047e-07,5.20874e+08,5.20781e+08,1.87804e+07,0.01,0.95,10,10000,0.938,0.139,2794,2,0.707107,0
2,11000,1.39895,1,1.77828,0.000810367,0.000630957,0.001,0.0784063,0.05,0.1,0.174671,0.1,0.2,1.43609e-06,8.95777e+08,5.10801e+07,3.22977e+07,0.01,0.95,10,10000,0.938,0.139,9610,596,0.0409616,0
3,11000,1.30106,1,1.77828,0.000802129,0.000630957,0.001,0.0728507,0.05,0.1,0.256967,0.2,0.3,1.43609e-06,1.03979e+09,2.36964e+07,3.74902e+07,0.01,0.95,10,10000,0.938,0.139,11155,3284,0.0174501,0
4,11000,1.30859,1,1.77828,0.000802023,0.000630957,0.001,0.0729741,0.05,0.1,0.351125,0.3,0.4,1.43609e-06,8.87574e+08,1.48334e+07,3.20019e+07,0.01,0.95,10,10000,0.938,0.139,9522,5204,0.0138622,0
5,11000,1.3048,1,1.77828,0.000803738,0.000630957,0.001,0.0728368,0.05,0.1,0.448315,0.4,0.5,1.43609e-06,6.4289e+08,1.03866e+07,2.31797e+07,0.01,0.95,10,10000,0.938,0.139,6897,4926,0.014248,0
6,11000,1.30016,1,1.77828,0.000803539,0.000630957,0.001,0.0724537,0.05,0.1,0.547281,0.5,0.6,1.43609e-06,4.15171e+08,7.64793e+06,1.49692e+07,0.01,0.95,10,10000,0.938,0.139,4454,3547,0.0167907,0
7,11000,1.29546,1,1.77828,0.000809408,0.000630957,0.001,0.0722812,0.05,0.1,0.645772,0.6,0.7,1.43609e-06,2.77588e+08,6.04302e+06,1.00086e+07,0.01,0.95,10,10000,0.938,0.139,2978,2470,0.0201211,0
8,11000,1.29525,1,1.77828,0.000810344,0.000630957,0.001,0.0724622,0.05,0.1,0.745766,0.7,0.8,1.43609e-06,1.66199e+08,4.64861e+06,5.99238e+06,0.01,0.95,10,10000,0.938,0.139,1783,1489,0.0259151,0
9,11000,1.66468,1,1.77828,0.000791232,0.000630957,0.001,0.140438,0.1,0.15,0.0359105,0,0.05,7.18047e-07,7.15876e+07,5.0488e+07,2.58113e+06,0.01,0.95,10,10000,0.938,0.139,384,4,0.5,0
10,11000,1.42742,1,1.77828,0.000832653,0.000630957,0.001,0.13198,0.1,0.15,0.0852847,0.05,0.1,7.18047e-07,2.16068e+08,4.91613e+07,7.79043e+06,0.01,0.95,10,10000,0.938,0.139,1159,38,0.162221,0
