id, s[GeV^{2}], <Q>[GeV], Q_min[GeV], Q_max[GeV], <xB>, xB_min, xB_max, <z>, z_min, z_max, <pT>, pT_min, pT_max, Delta_bin[GeV^3], xSec_diff[fb/GeV^3], xSec_uncorr_error, xSec_corr_error, y_min, y_max, W2_min[GeV^2], W2_max[GeV^2],target_mass[GeV], product_mass[GeV], N_gen, N_reco, abs_stat_error, abs_sys_error 
1,11000,1.04697,1,1.77828,0.00080857,0.000630957,0.001,0.0595999,0.05,0.1,0.0362084,0,0.05,7.18047e-07,2.91289e+08,3.40928e+07,8.73868e+06,0.01,0.95,10,10000,0.938,0.497,73,1,1,0
2,11000,1.07978,1,1.77828,0.000903923,0.000630957,0.001,0.0643513,0.05,0.1,0.0815411,0.05,0.1,7.18047e-07,8.25985e+08,5.74099e+07,2.47795e+07,0.01,0.95,10,10000,0.938,0.497,207,13,0.27735,0
3,11000,1.11985,1,1.77828,0.000849633,0.000630957,0.001,0.0636787,0.05,0.1,0.161447,0.1,0.2,1.43609e-06,1.57615e+09,5.6077e+07,4.72846e+07,0.01,0.95,10,10000,0.938,0.497,790,129,0.0880451,0
4,11000,1.18626,1,1.77828,0.000837392,0.000630957,0.001,0.0679347,0.05,0.1,0.252559,0.2,0.3,1.43609e-06,2.01109e+09,6.33435e+07,6.03328e+07,0.01,0.95,10,10000,0.938,0.497,1008,277,0.0600842,0
5,11000,1.2294,1,1.77828,0.000818853,0.000630957,0.001,0.0686575,0.05,0.1,0.35304,0.3,0.4,1.43609e-06,1.92929e+09,6.20419e+07,5.78788e+07,0.01,0.95,10,10000,0.938,0.497,967,349,0.0535288,0
6,11000,1.27257,1,1.77828,0.000814797,0.000630957,0.001,0.0696541,0.05,0.1,0.451256,0.4,0.5,1.43609e-06,1.71781e+09,5.85428e+07,5.15343e+07,0.01,0.95,10,10000,0.938,0.497,861,439,0.0477274,0
7,11000,1.30766,1,1.77828,0.000811648,0.000630957,0.001,0.0713779,0.05,0.1,0.54892,0.5,0.6,1.43609e-06,1.32277e+09,5.13722e+07,3.96832e+07,0.01,0.95,10,10000,0.938,0.497,663,411,0.0493264,0
8,11000,1.35792,1,1.77828,0.000807077,0.000630957,0.001,0.0725922,0.05,0.1,0.648346,0.6,0.7,1.43609e-06,9.0579e+08,4.25108e+07,2.71737e+07,0.01,0.95,10,10000,0.938,0.497,454,319,0.0559893,0
9,11000,1.35973,1,1.77828,0.000812864,0.000630957,0.001,0.0743025,0.05,0.1,0.749658,0.7,0.8,1.43609e-06,6.22481e+08,3.52411e+07,1.86744e+07,0.01,0.95,10,10000,0.938,0.497,312,225,0.0666667,0
10,11000,1.58596,1,1.77828,0.000739366,0.000630957,0.001,0.138082,0.1,0.15,0.0531683,0.05,0.1,7.18047e-07,4.14987e+08,4.06929e+07,1.24496e+07,0.01,0.95,10,10000,0.938,0.497,104,1,1,0
11,11000,1.26129,1,1.77828,0.000813524,0.000630957,0.001,0.12377,0.1,0.15,0.167225,0.1,0.2,1.43609e-06,8.81848e+08,4.19452e+07,2.64554e+07,0.01,0.95,10,10000,0.938,0.497,442,35,0.169031,0
12,11000,1.28765,1,1.77828,0.000806514,0.000630957,0.001,0.12447,0.1,0.15,0.25549,0.2,0.3,1.43609e-06,1.21903e+09,4.93165e+07,3.65708e+07,0.01,0.95,10,10000,0.938,0.497,611,78,0.113228,0
13,11000,1.22663,1,1.77828,0.000827283,0.000630957,0.001,0.121535,0.1,0.15,0.351822,0.3,0.4,1.43609e-06,1.15518e+09,4.80077e+07,3.46554e+07,0.01,0.95,10,10000,0.938,0.497,579,134,0.0863868,0
14,11000,1.22937,1,1.77828,0.000818154,0.000630957,0.001,0.124364,0.1,0.15,0.450419,0.4,0.5,1.43609e-06,1.10331e+09,4.69174e+07,3.30992e+07,0.01,0.95,10,10000,0.938,0.497,553,226,0.066519,0
15,11000,1.27149,1,1.77828,0.0008293,0.000630957,0.001,0.121749,0.1,0.15,0.550151,0.5,0.6,1.43609e-06,7.90072e+08,3.97026e+07,2.37022e+07,0.01,0.95,10,10000,0.938,0.497,396,219,0.0675737,0
16,11000,1.24759,1,1.77828,0.000811638,0.000630957,0.001,0.123912,0.1,0.15,0.650094,0.6,0.7,1.43609e-06,6.12505e+08,3.49575e+07,1.83752e+07,0.01,0.95,10,10000,0.938,0.497,307,225,0.0666667,0
